,Real,Prediccion
749,"$38,138.18","$37,322.77"
750,"$37,917.60","$37,478.18"
751,"$38,483.12","$37,647.30"
752,"$38,743.27","$37,921.55"
753,"$36,952.98","$38,208.04"
754,"$37,154.60","$38,167.84"
755,"$41,500.88","$38,082.97"
756,"$41,441.16","$38,625.46"
757,"$42,412.43","$39,228.77"
758,"$43,840.29","$39,973.46"
759,"$44,118.45","$40,882.20"
760,"$44,338.80","$41,757.19"
761,"$43,565.11","$42,546.98"
762,"$42,407.94","$43,064.90"
763,"$42,244.47","$43,240.05"
764,"$42,197.52","$43,250.91"
765,"$42,586.92","$43,149.20"
766,"$44,575.20","$43,039.07"
767,"$43,961.86","$43,256.48"
768,"$40,538.01","$43,421.31"
769,"$40,030.98","$43,049.89"
770,"$40,122.16","$42,541.97"
771,"$38,431.38","$42,036.75"
772,"$37,075.28","$41,323.91"
773,"$38,286.03","$40,459.66"
